alpha,c,k,clamp,nmae,tf_bias,tf_early,slope_err,obj
0.25,1,2.0,None-None,0.9763073251410074,0.11324302727867411,0.20935492973805817,0.1920479680836511,1.109295546829705
0.0,8,2.0,0.25-2.5,0.9601395363296755,0.10527050806922554,0.2479001344928342,0.1819459637009942,1.1104072305933992
0.25,8,1.0,None-None,0.9515102756609249,0.14115100719793647,0.24736500572391762,0.18941953861782676,1.110480530322368
0.25,1,1.0,0.25-2.5,0.9675824446426408,0.10727219947884264,0.2354372585316609,0.1717867464802816,1.1121191237781818
0.0,4,1.0,0.25-2.5,0.9589401787857033,0.10890405901723212,0.2520810864941776,0.18604196232283254,1.1122067367871
0.25,2,2.0,0.25-2.5,0.9717121289320894,0.10166911840057793,0.23117755994208974,0.16753620316160658,1.1127181885032786
0.25,8,4.0,0.25-2.5,0.9687753763644931,0.10197817834121368,0.24174013205720551,0.1681073560111342,1.1151399869783993
0.25,4,2.0,0.25-2.5,0.9661423144788777,0.10593171098297462,0.24531584800885023,0.17113507580625786,1.1152831662290466
0.0,0,1.0,None-None,0.9779927184391497,0.1404689010818862,0.20743582026616625,0.21646930908419915,1.1168278538427043
0.25,4,4.0,0.25-2.5,0.976324878142977,0.10197790510116764,0.2302861226764988,0.17343692705152877,1.1169624157565183
0.25,0,1.0,None-None,0.9787405419667998,0.11668456169636449,0.2184732859899577,0.18751790949485886,1.1171483253858698
0.25,2,1.0,0.25-2.5,0.9634823358842458,0.11093392343441072,0.25240151133656386,0.17611242309798195,1.1174165724111305
0.25,1,2.0,0.25-2.5,0.9770854369555386,0.10103820716841903,0.2337073262492767,0.16868305534168726,1.1191986518722818
0.0,4,4.0,0.25-2.5,0.974778961424622,0.12286419768332178,0.23250994053136395,0.24719651369545412,1.1217499811111344
0.5,8,1.0,None-None,0.9530358030353567,0.1403679338609069,0.2694104238574455,0.19353548264736622,1.1228329984293064
0.0,8,1.0,0.25-2.5,0.9564955502719076,0.11560916280060737,0.2761655904386196,0.19928788970566283,1.1234806361913694
0.25,8,2.0,0.25-2.5,0.9613343440917256,0.11166179340173303,0.26885275480534954,0.18007385389068098,1.1236761698448336
0.5,4,1.0,None-None,0.9570519482836367,0.1328078812651835,0.26775666116777014,0.17849029418190385,1.1241322491838175
0.0,1,2.0,0.25-2.5,0.9757483705385085,0.11103728669287065,0.24135873312626452,0.21477483540025258,1.1241870587748584
0.25,0,1.0,0.25-2.5,0.9799448792476722,0.10085269492710869,0.23988694932765767,0.18058060790468292,1.125101527643278
0.5,8,2.0,None-None,0.9596015724858895,0.12751962229646116,0.26735019541677985,0.16986621181862366,1.1251565757683948
0.25,4,1.0,0.25-2.5,0.9599099915311581,0.11598403492360541,0.27275135367142983,0.18820502721989477,1.1252816770977743
0.25,2,4.0,None-None,0.9850035488095117,0.11876409073711919,0.22263017951910904,0.2495576617276366,1.126009661253346
0.5,2,1.0,None-None,0.9619801867769273,0.12711081204489985,0.26685784169901267,0.16264114513590436,1.1271868106376586
0.5,4,2.0,None-None,0.9664304107493479,0.11921404927972284,0.2671000671266736,0.15072031501713706,1.1297839566326153
0.5,1,1.0,None-None,0.9672678161985142,0.12218181618631362,0.2669293272574203,0.15415740399717415,1.1312779338738028
0.0,0,1.0,0.25-2.5,0.9791276798558513,0.10189630812794795,0.25548777320897115,0.19516791067043043,1.1323456434923238
0.5,8,4.0,None-None,0.9707683151583286,0.1124329603843834,0.26725688758714444,0.14312476407778305,1.1325049990479967
0.25,2,4.0,0.25-2.5,0.9836848224604203,0.10905492216400405,0.24313857036913572,0.1926853280987334,1.1325178381859893
0.25,8,1.0,0.25-2.5,0.957231218939437,0.1221748817723274,0.29113293190954576,0.20191709977239497,1.1333414053372917
0.0,2,4.0,None-None,0.9824016703771273,0.1843242268251,0.21272887514740216,0.4254052943347938,1.1348471646571034
