stat,mkt,p_glm,p_fan
receiving_yards,0.495,0.7260768667393415,0.7144072254958442
receptions,0.515,1.0,0.7043548674996666
receiving_yards,0.48,0.29816932170199284,0.4810110811965628
receptions,0.475,0.134,0.4350044441384422
receiving_yards,0.5349999999999999,0.3367149228444384,0.5061816267080562
receptions,0.525,0.196,0.40611310753384217
receiving_yards,0.53,0.23914905925213148,0.49494642403014333
receptions,0.55,0.087,0.42888422317801006
receiving_yards,0.51,0.6590632160030212,0.5536764876756467
receptions,0.525,0.679,0.4676818986835115
receiving_yards,0.45,0.2217570865316999,0.37507510806270994
receiving_yards,0.505,0.5839472674916917,0.6411442732013017
receptions,0.475,0.39,0.5654735686068397
receiving_yards,0.555,0.37461726766741865,0.5156514102217974
receptions,0.59,0.216,0.5099820712244797
receiving_yards,0.54,0.27056646183206123,0.37883419055535766
receptions,0.495,0.22,0.3786881622167312
receiving_yards,0.6,0.5994964940249111,0.4860938043147415
receptions,0.575,0.348,0.2473898242743755
receiving_yards,0.51,0.10100555713960291,0.2407975284017811
receptions,0.505,0.117,0.05960664573714358
receiving_yards,0.495,0.6250239192747497,0.591386628263779
receptions,0.47,0.733,0.5353937342385479
receiving_yards,0.605,0.6281212074377913,0.6915812929417807
receptions,0.55,0.564,0.5760343617665706
receiving_yards,0.535,0.7245307625698091,0.45388129139915995
receptions,0.515,0.389,0.18588243203035976
receiving_yards,0.505,0.660415503487265,0.6286657627640038
receptions,0.49,0.595,0.546997991241754
receiving_yards,0.485,0.19431922382098166,0.3621253463370895
receptions,0.545,0.168,0.4266095335144345
receiving_yards,0.485,0.2196301903320057,0.3064207921579778
receptions,0.5549999999999999,0.398,0.4304126641100826
receiving_yards,0.485,0.6994343692058749,0.6120251575750608
receptions,0.565,0.676,0.6010073627412207
receiving_yards,0.505,0.4028754737155792,0.4004772472710498
receptions,0.51,0.177,0.36896370994126354
receiving_yards,0.5349999999999999,0.5511462016819692,0.6576784811837976
receptions,0.545,0.442,0.5741759861507295
receiving_yards,0.505,0.3567023317087623,0.5498676977384098
receptions,0.56,0.406,0.5569467932019533
receiving_yards,0.56,0.8393661848436893,0.6489893340713891
receptions,0.48,0.451,0.5275048048565826
receiving_yards,0.585,0.6344625539086434,0.5844746716374456
receptions,0.53,0.406,0.47220412577501314
receiving_yards,0.565,0.7559959701328988,0.4782056524672452
receptions,0.47,0.443,0.2818733789377574
receiving_yards,0.45999999999999996,0.3379120296293444,0.472847409469106
receptions,0.46499999999999997,0.378,0.4941667669816744
receiving_yards,0.495,0.3376608019558619,0.36869969806525293
receptions,0.56,0.339,0.32636060343345613
receiving_yards,0.395,0.6518163614434703,0.5221063381713144
receptions,0.45499999999999996,0.477,0.571179687548456
receiving_yards,0.46499999999999997,0.4970022656075831,0.5547289876463258
receptions,0.44999999999999996,0.564,0.5116044996769277
receiving_yards,0.525,0.21504361778108394,0.3173259886034521
receptions,0.44,0.174,0.27941909898267914
receiving_yards,0.48,0.33116156219848825,0.3773280892819846
receptions,0.425,0.391,0.4120324924125359
receiving_yards,0.41500000000000004,0.15543818328424852,0.3228248903820806
receptions,0.59,0.14,0.4067020576457625
